"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
1990,MO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,531,989"
1990,MO,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"101,059"
1990,MO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),663
1990,MO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"23,931"
1990,MO,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"58,261"
1990,MO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),782
1990,MO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"388,598"
1990,MS,Total Electric Power Industry,Coal (Short Tons),"3,912,851"
1990,MS,Total Electric Power Industry,Petroleum (Barrels),"1,285,200"
1990,MS,Total Electric Power Industry,Natural Gas (Mcf),"73,036,347"
1990,MS,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,887,656"
1990,MS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,228,383"
1990,MS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"65,168,175"
1990,MS,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"25,195"
1990,MS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"56,817"
1990,MS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"7,868,172"
1990,MT,Total Electric Power Industry,Coal (Short Tons),"9,572,552"
1990,MT,Total Electric Power Industry,Petroleum (Barrels),"66,616"
1990,MT,Total Electric Power Industry,Natural Gas (Mcf),"587,869"
1990,MT,"Electric Generators, Electric Utilities",Coal (Short Tons),"9,398,852"
1990,MT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"63,231"
1990,MT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"417,633"
1990,MT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"173,700"
1990,MT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"3,385"
1990,MT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"170,236"
1990,NC,Total Electric Power Industry,Coal (Short Tons),"19,401,058"
1990,NC,Total Electric Power Industry,Petroleum (Barrels),"690,542"
1990,NC,Total Electric Power Industry,Natural Gas (Mcf),"2,928,862"
1990,NC,"Electric Generators, Electric Utilities",Coal (Short Tons),"18,004,980"
1990,NC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"373,251"
1990,NC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,461,412"
1990,NC,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"30,950"
