"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
1994,OH,Total Electric Power Industry,Coal (Short Tons),"50,163,644"
1994,OH,Total Electric Power Industry,Petroleum (Barrels),"975,544"
1994,OH,Total Electric Power Industry,Natural Gas (Mcf),"4,765,530"
1994,OH,Total Electric Power Industry,Other Gases (Billion BTU),"1,366"
1994,OH,"Electric Generators, Electric Utilities",Coal (Short Tons),"49,326,497"
1994,OH,"Electric Generators, Electric Utilities",Petroleum (Barrels),"871,983"
1994,OH,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,817,852"
1994,OH,"Combined Heat and Power, Electric Power",Coal (Short Tons),"626,634"
1994,OH,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"119,472"
1994,OH,"Combined Heat and Power, Commercial Power",Coal (Short Tons),71
1994,OH,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"10,410"
1994,OH,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"522,183"
1994,OH,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"210,442"
1994,OH,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"93,151"
1994,OH,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,306,023"
1994,OH,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"1,366"
1994,OK,Total Electric Power Industry,Coal (Short Tons),"18,337,898"
1994,OK,Total Electric Power Industry,Petroleum (Barrels),"74,527"
1994,OK,Total Electric Power Industry,Natural Gas (Mcf),"165,174,143"
1994,OK,Total Electric Power Industry,Other Gases (Billion BTU),440
1994,OK,"Electric Generators, Electric Utilities",Coal (Short Tons),"16,960,610"
1994,OK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"24,904"
1994,OK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"153,108,930"
1994,OK,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),0
1994,OK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,098,134"
1994,OK,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"7,062,185"
1994,OK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"604,970"
1994,OK,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"279,154"
1994,OK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"49,623"
1994,OK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"4,398,058"
1994,OK,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),440
1994,OR,Total Electric Power Industry,Coal (Short Tons),"2,352,111"
1994,OR,Total Electric Power Industry,Petroleum (Barrels),"16,259"
1994,OR,Total Electric Power Industry,Natural Gas (Mcf),"27,436,350"
1994,OR,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,333,140"
1994,OR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"10,831"
1994,OR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"26,132,157"
1994,OR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,160"
1994,OR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"606,164"
1994,OR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"18,971"
1994,OR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"5,428"
1994,OR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"695,869"
1994,PA,Total Electric Power Industry,Coal (Short Tons),"45,434,368"
1994,PA,Total Electric Power Industry,Petroleum (Barrels),"11,321,409"
1994,PA,Total Electric Power Industry,Natural Gas (Mcf),"38,294,364"
1994,PA,Total Electric Power Industry,Other Gases (Billion BTU),"11,051"
1994,PA,"Electric Generators, Electric Utilities",Coal (Short Tons),"38,043,652"
1994,PA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"9,982,401"
1994,PA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"12,715,845"
1994,PA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,741,720"
1994,PA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"46,370"
1994,PA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"245,540"
1994,PA,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),30
1994,PA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"4,826,693"
1994,PA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"613,552"
1994,PA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"12,698,704"
1994,PA,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),55
1994,PA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"4,360"
1994,PA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"19,239"
1994,PA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,234,224"
1994,PA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"817,943"
1994,PA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"659,847"
1994,PA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"11,400,051"
1994,PA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"10,966"
1994,RI,Total Electric Power Industry,Coal (Short Tons),0
1994,RI,Total Electric Power Industry,Petroleum (Barrels),"234,568"
1994,RI,Total Electric Power Industry,Natural Gas (Mcf),"38,563,664"
1994,RI,Total Electric Power Industry,Other Gases (Billion BTU),12
1994,RI,"Electric Generators, Electric Utilities",Coal (Short Tons),0
1994,RI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"81,651"
1994,RI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"545,801"
1994,RI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),770
1994,RI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"34,287,160"
1994,RI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"28,100"
1994,RI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,060,142"
1994,RI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"120,089"
1994,RI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"565,007"
1994,RI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"3,958"
1994,RI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"105,554"
1994,RI,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),12
1994,SC,Total Electric Power Industry,Coal (Short Tons),"10,961,428"
1994,SC,Total Electric Power Industry,Petroleum (Barrels),"485,365"
1994,SC,Total Electric Power Industry,Natural Gas (Mcf),"3,781,288"
1994,SC,Total Electric Power Industry,Other Gases (Billion BTU),75
1994,SC,"Electric Generators, Electric Utilities",Coal (Short Tons),"10,597,234"
1994,SC,"Electric Generators, Electric Utilities",Petroleum (Barrels),"276,853"
1994,SC,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,005,150"
1994,SC,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),0
1994,SC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"7,816"
1994,SC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"165,475"
1994,SC,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"364,194"
1994,SC,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"200,696"
1994,SC,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"610,663"
1994,SC,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),75
1994,SD,Total Electric Power Industry,Coal (Short Tons),"2,570,135"
1994,SD,Total Electric Power Industry,Petroleum (Barrels),"50,170"
1994,SD,Total Electric Power Industry,Natural Gas (Mcf),"158,745"
1994,SD,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,570,135"
1994,SD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"50,170"
1994,SD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"158,745"
1994,TN,Total Electric Power Industry,Coal (Short Tons),"21,796,497"
1994,TN,Total Electric Power Industry,Petroleum (Barrels),"548,732"
1994,TN,Total Electric Power Industry,Natural Gas (Mcf),"3,257,932"
1994,TN,Total Electric Power Industry,Other Gases (Billion BTU),24
1994,TN,"Electric Generators, Electric Utilities",Coal (Short Tons),"21,252,998"
1994,TN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"519,304"
1994,TN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,018,840"
1994,TN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"14,132"
1994,TN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"237,418"
1994,TN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"529,367"
1994,TN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"29,428"
1994,TN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,001,674"
1994,TN,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),24
1994,TX,Total Electric Power Industry,Coal (Short Tons),"90,906,896"
1994,TX,Total Electric Power Industry,Petroleum (Barrels),"4,030,316"
1994,TX,Total Electric Power Industry,Natural Gas (Mcf),"1,370,118,834"
1994,TX,Total Electric Power Industry,Other Gases (Billion BTU),"30,826"
1994,TX,"Electric Generators, Electric Utilities",Coal (Short Tons),"88,478,896"
1994,TX,"Electric Generators, Electric Utilities",Petroleum (Barrels),"565,285"
1994,TX,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,049,205,091"
1994,TX,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"3,206,118"
1994,TX,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"109,077,110"
1994,TX,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),"1,232"
1994,TX,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"8,312"
1994,TX,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"4,279,790"
1994,TX,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,428,000"
1994,TX,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"250,601"
1994,TX,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"207,556,843"
1994,TX,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"29,594"
1994,UT,Total Electric Power Industry,Coal (Short Tons),"14,663,022"
1994,UT,Total Electric Power Industry,Petroleum (Barrels),"58,754"
1994,UT,Total Electric Power Industry,Natural Gas (Mcf),"9,389,839"
1994,UT,Total Electric Power Industry,Other Gases (Billion BTU),"2,737"
1994,UT,"Electric Generators, Electric Utilities",Coal (Short Tons),"14,269,384"
1994,UT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"53,201"
1994,UT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"8,900,334"
1994,UT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"386,800"
1994,UT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"4,000"
1994,UT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,553"
1994,UT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"224,932"
1994,UT,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"6,838"
1994,UT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
1994,UT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"264,573"
1994,UT,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"2,737"
1994,VA,Total Electric Power Industry,Coal (Short Tons),"10,611,691"
1994,VA,Total Electric Power Industry,Petroleum (Barrels),"4,645,880"
1994,VA,Total Electric Power Industry,Natural Gas (Mcf),"40,729,251"
1994,VA,"Electric Generators, Electric Utilities",Coal (Short Tons),"8,669,938"
1994,VA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,837,474"
1994,VA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"19,219,064"
1994,VA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"143,210"
1994,VA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"13,512,630"
1994,VA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,479,913"
1994,VA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"203,224"
1994,VA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"6,277,258"
1994,VA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"89,265"
1994,VA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"997,902"
1994,VA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"461,840"
1994,VA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"372,707"
1994,VA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"722,397"
1994,VT,Total Electric Power Industry,Petroleum (Barrels),"24,223"
1994,VT,Total Electric Power Industry,Natural Gas (Mcf),"166,477"
1994,VT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"22,974"
1994,VT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"166,477"
1994,VT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,249"
1994,WA,Total Electric Power Industry,Coal (Short Tons),"6,046,110"
1994,WA,Total Electric Power Industry,Petroleum (Barrels),"124,555"
1994,WA,Total Electric Power Industry,Natural Gas (Mcf),"41,527,441"
1994,WA,Total Electric Power Industry,Other Gases (Billion BTU),"2,205"
1994,WA,"Electric Generators, Electric Utilities",Coal (Short Tons),"6,016,103"
1994,WA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"11,857"
1994,WA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,460,905"
1994,WA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"6,788"
1994,WA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"33,618,149"
1994,WA,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),"2,205"
1994,WA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"2,013"
1994,WA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,064"
1994,WA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"254,731"
1994,WA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"27,994"
1994,WA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"104,846"
1994,WA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"5,193,656"
1994,WI,Total Electric Power Industry,Coal (Short Tons),"20,188,140"
1994,WI,Total Electric Power Industry,Petroleum (Barrels),"752,962"
1994,WI,Total Electric Power Industry,Natural Gas (Mcf),"7,614,432"
1994,WI,"Electric Generators, Electric Utilities",Coal (Short Tons),"19,695,903"
1994,WI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"380,416"
1994,WI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,821,293"
1994,WI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"14,352"
1994,WI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),79
1994,WI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"129,104"
1994,WI,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"1,985"
1994,WI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"4,130"
1994,WI,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"541,008"
1994,WI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"475,900"
1994,WI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"368,337"
1994,WI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"3,123,027"
1994,WV,Total Electric Power Industry,Coal (Short Tons),"32,064,658"
1994,WV,Total Electric Power Industry,Petroleum (Barrels),"459,898"
1994,WV,Total Electric Power Industry,Natural Gas (Mcf),"1,713,528"
1994,WV,Total Electric Power Industry,Other Gases (Billion BTU),"2,283"
1994,WV,"Electric Generators, Electric Utilities",Coal (Short Tons),"30,317,502"
1994,WV,"Electric Generators, Electric Utilities",Petroleum (Barrels),"422,971"
1994,WV,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"242,637"
1994,WV,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,139,580"
1994,WV,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"67,500"
1994,WV,"Combined Heat and Power, Electric Power",Coal (Short Tons),"292,206"
1994,WV,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"185,452"
1994,WV,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"315,370"
1994,WV,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"36,927"
1994,WV,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,217,939"
1994,WV,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"2,283"
1994,WY,Total Electric Power Industry,Coal (Short Tons),"25,534,468"
1994,WY,Total Electric Power Industry,Petroleum (Barrels),"95,125"
1994,WY,Total Electric Power Industry,Natural Gas (Mcf),"4,175,435"
1994,WY,Total Electric Power Industry,Other Gases (Billion BTU),26
1994,WY,"Electric Generators, Electric Utilities",Coal (Short Tons),"25,350,262"
1994,WY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"85,857"
1994,WY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"129,292"
1994,WY,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"184,206"
1994,WY,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"9,268"
1994,WY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"4,046,143"
1994,WY,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),26
1994,US-TOTAL,Total Electric Power Industry,Coal (Short Tons),"848,796,074"
1994,US-TOTAL,Total Electric Power Industry,Petroleum (Barrels),"183,617,804"
1994,US-TOTAL,Total Electric Power Industry,Natural Gas (Mcf),"4,367,148,403"
1994,US-TOTAL,Total Electric Power Industry,Other Gases (Billion BTU),"136,381"
